Date,dis.prev.mean,GE.prev.mean,daily_avg_temp,monthly_avg_temp
2013-10-28,0,1.875,22.5332,23.32659032
2013-11-27,0,1.339,20.1728,21.11194667
2013-12-24,0,0.938,18.0547,18.66624194
2014-07-17,0,0.469,24.2681,24.1559
2014-08-04,0,0.312,25.7236,26.0356129
2014-10-03,2.505,0.156,24.1668,23.32659032
2014-11-10,0.125,4.219,21.5687,21.11194667
2015-07-06,0,0.469,23.211,24.1559
2015-08-05,0,0.347,25.7796,26.0356129
2015-09-23,0.381,1.094,24.8207,25.26673667
2015-10-19,2.79,9.028,23.1483,23.32659032
2015-11-24,8.571,2.778,20.4293,21.11194667
2016-07-12,0,0.625,23.7786,24.1559
2016-09-05,3.539,2.188,25.8688,25.26673667
2016-10-20,7.51,4.375,23.0818,23.32659032
2016-11-22,0.545,2.344,20.5944,21.11194667
2017-07-31,0,0.694,25.4721,24.1559
2017-08-25,0.26,0.347,26.1879,26.0356129
2017-09-26,0.087,2.778,24.6289,25.26673667
2017-10-20,6.902,4.34,23.0818,23.32659032
2018-07-27,0,0.625,25.1783,24.1559
2018-08-18,0.271,2.031,26.1943,26.0356129
2018-11-02,0.537,4.844,22.1822,21.11194667
2019-07-02,0,0,22.8565,24.1559
2019-08-05,0,0.156,25.7796,26.0356129
2019-09-02,0.037,0.156,25.9912,25.26673667
2019-10-07,0.11,0.781,23.9026,23.32659032
2019-11-15,0.101,2.344,21.1575,21.11194667
2020-07-16,0,0.938,24.1699,24.1559
2020-08-19,0,0.781,26.2032,26.0356129
2020-09-15,1.923,5.625,25.3364,25.26673667
2020-10-14,0.297,3.75,23.4691,23.32659032
2020-11-16,0,6.562,21.0774,21.11194667
