Date,dis.prev.mean,GE.prev.mean,daily_avg_temp,monthly_avg_temp
10/28/2013,0,1.875,22.5332,23.32659032
11/27/2013,0,1.339,20.1728,21.11194667
12/24/2013,0,0.938,18.0547,18.66624194
2/7/2014,0,1.25,15.8767,15.81698571
3/4/2014,0,1.562,15.8356,16.09222903
4/22/2014,0,0.781,17.6676,17.30281667
5/19/2014,0,1.719,19.5177,19.30668387
6/16/2014,0.167,1.719,21.6533,21.61392333
7/17/2014,0,0.469,24.2681,24.1559
8/4/2014,0,0.312,25.7236,26.0356129
10/3/2014,2.505,0.156,24.1668,23.32659032
11/10/2014,0.125,4.219,21.5687,21.11194667
12/8/2014,0,2.656,19.2583,18.66624194
1/8/2015,0,0,17.1551,16.7566
2/16/2015,0,0.312,15.7514,15.81698571
3/6/2015,0,0.469,15.8642,16.09222903
4/15/2015,0,0,17.2387,17.30281667
5/11/2015,0,0,18.9093,19.30668387
7/6/2015,0,0.469,23.211,24.1559
8/5/2015,0,0.347,25.7796,26.0356129
9/23/2015,0.381,1.094,24.8207,25.26673667
10/19/2015,2.79,9.028,23.1483,23.32659032
11/24/2015,8.571,2.778,20.4293,21.11194667
12/22/2015,0,3.125,18.194,18.66624194
1/21/2016,0,1.562,16.4798,16.7566
2/24/2016,0,0,15.7511,15.81607241
3/18/2016,0,0.156,16.1097,16.09222903
4/21/2016,0,0.469,17.604,17.30281667
5/23/2016,0,0,19.824,19.30668387
7/12/2016,0,0.625,23.7786,24.1559
9/5/2016,3.539,2.188,25.8688,25.26673667
10/20/2016,7.51,4.375,23.0818,23.32659032
11/22/2016,0.545,2.344,20.5944,21.11194667
12/20/2016,0.423,1.562,18.3394,18.66624194
1/1/2017,0,1.094,17.5588,16.7566
2/1/2017,0,1.094,16.0491,15.81698571
3/16/2017,0,0.156,16.0611,16.09222903
5/15/2017,0,0.469,19.2097,19.30668387
6/27/2017,0,0.469,22.4387,21.61392333
7/31/2017,0,0.694,25.4721,24.1559
8/25/2017,0.26,0.347,26.1879,26.0356129
9/26/2017,0.087,2.778,24.6289,25.26673667
10/20/2017,6.902,4.34,23.0818,23.32659032
12/11/2017,0.076,2.778,19.0285,18.66624194
1/30/2018,0,1.215,16.1178,16.7566
2/21/2018,0,0.347,15.7409,15.81698571
3/19/2018,0,0,16.1352,16.09222903
4/23/2018,0,0,17.7315,17.30281667
5/28/2018,0,0.868,20.213,19.30668387
6/25/2018,0,1.406,22.2837,21.61392333
7/27/2018,0,0.625,25.1783,24.1559
8/18/2018,0.271,2.031,26.1943,26.0356129
11/2/2018,0.537,4.844,22.1822,21.11194667
12/3/2018,0,1.875,19.6569,18.66624194
1/10/2019,0,1.25,17.0396,16.7566
2/8/2019,0,1.719,15.8545,15.81698571
2/28/2019,0,0,15.7807,16.09222903
4/2/2019,0,0,16.5823,17.30281667
5/13/2019,0,0,19.0571,19.30668387
5/28/2019,0,0.156,20.213,21.61392333
7/2/2019,0,0,22.8565,24.1559
8/5/2019,0,0.156,25.7796,26.0356129
9/2/2019,0.037,0.156,25.9912,25.26673667
10/7/2019,0.11,0.781,23.9026,23.32659032
11/15/2019,0.101,2.344,21.1575,21.11194667
12/8/2019,0,1.25,19.2583,18.66624194
2/12/2020,0,0.156,15.7868,15.81607241
3/6/2020,0,0.312,15.8642,16.09222903
6/5/2020,0,0.156,20.8599,21.61392333
7/16/2020,0,0.938,24.1699,24.1559
8/19/2020,0,0.781,26.2032,26.0356129
9/15/2020,1.923,5.625,25.3364,25.26673667
10/14/2020,0.297,3.75,23.4691,23.32659032
11/16/2020,0,6.562,21.0774,21.11194667
12/8/2020,0,6.25,19.2583,19.071185
