Date,Dis_Count
2013-09-13,2
2013-10-28,0
2013-11-27,0
2013-12-24,0
2014-02-07,0
2014-03-04,0
2014-04-22,0
2014-05-19,0
2014-06-16,1
2014-07-14,1
2014-08-04,0
2014-10-03,5
2014-11-10,1
2014-12-08,0
2015-01-08,0
2015-02-16,0
2015-03-06,0
2015-04-15,0
2015-05-11,0
2015-07-06,0
2015-08-05,0
2015-09-23,2
2015-10-19,3
2015-11-24,5
2015-12-22,0
2016-01-21,0
2016-02-24,0
2016-03-18,0
2016-04-21,0
2016-05-23,0
2016-07-12,0
2016-09-05,2
2016-10-20,1
2016-11-22,1
2016-12-20,2
2017-01-01,0
2017-02-01,0
2017-03-16,0
2017-05-15,0
2017-06-27,0
2017-07-31,0
2017-08-25,1
2017-09-26,1
2017-10-20,3
2017-12-11,1
2018-01-30,0
2018-02-21,0
2018-03-19,0
2018-04-23,0
2018-05-28,0
2018-06-25,0
2018-07-27,0
2018-08-18,2
2018-11-02,1
2018-12-03,0
2019-01-10,0
2019-02-08,0
2019-02-28,0
2019-04-02,0
2019-05-13,0
2019-05-28,0
2019-07-02,0
2019-08-05,0
2019-09-02,1
2019-10-07,2
2019-11-15,2
2019-12-08,0
2020-02-12,0
2020-03-06,0
2020-06-05,0
2020-07-16,0
2020-08-19,0
2020-09-15,1
2020-10-14,1
2020-11-16,0
2020-12-08,0
