Size,Count,Percent,Year
5,0,0,2013
10,0,0,2013
20,0,0,2013
40,0,0,2013
80,0,0,2013
160,0,0,2013
320,1,0.5,2013
640,1,0.5,2013
1280,0,0,2013
2560,0,0,2013
5120,0,0,2013
5,0,0,2014
10,0,0,2014
20,0,0,2014
40,0,0,2014
80,0,0,2014
160,1,0.166666667,2014
320,2,0.333333333,2014
640,2,0.333333333,2014
1280,0,0,2014
2560,1,0,2014
5120,0,0,2014
5,0,0,2015
10,0,0,2015
20,0,0,2015
40,0,0,2015
80,0,0,2015
160,1,0.142857143,2015
320,2,0.285714286,2015
640,4,0.571428571,2015
1280,0,0,2015
2560,0,0,2015
5120,0,0,2015
5,0,0,2016
10,0,0,2016
20,0,0,2016
40,0,0,2016
80,0,0,2016
160,0,0,2016
320,2,0.4,2016
640,3,0.6,2016
1280,0,0,2016
2560,0,0,2016
5120,0,0,2016
5,0,0,2017
10,0,0,2017
20,0,0,2017
40,0,0,2017
80,0,0,2017
160,0,0,2017
320,2,0.4,2017
640,3,0.6,2017
1280,0,0,2017
2560,0,0,2017
5120,0,0,2017
5,0,0,2018
10,0,0,2018
20,0,0,2018
40,0,0,2018
80,0,0,2018
160,0,0,2018
320,1,0.5,2018
640,1,0.5,2018
1280,0,0,2018
2560,0,0,2018
5120,0,0,2018
5,0,0,2019
10,0,0,2019
20,0,0,2019
40,0,0,2019
80,0,0,2019
160,0,0,2019
320,2,0.4,2019
640,3,0.6,2019
1280,0,0,2019
2560,0,0,2019
5120,0,0,2019
5,0,0,2020
10,0,0,2020
20,0,0,2020
40,1,0.5,2020
80,0,0,2020
160,1,0.5,2020
320,0,0,2020
640,0,0,2020
1280,0,0,2020
2560,0,0,2020
5120,0,0,2020
5,0,0,ALL
10,0,0,ALL
20,0,0,ALL
40,1,0.029411765,ALL
80,0,0,ALL
160,3,0.088235294,ALL
320,12,0.352941176,ALL
640,17,0.5,ALL
1280,0,0,ALL
2560,1,0,ALL
5120,0,0,ALL
