Date,Quadrat,Colony_SA,Disease_SA,Percentage,dis_presence,alg_type,HOBO_temp
2020-07-20,1,256.884,0,0,0,n,25.46497685
2020-07-20,2,1151.142,0,0,0,n,25.46497685
2020-07-20,3,389.523,0,0,0,sg,25.46497685
2020-07-20,4,166.868,0,0,0,sg,25.46497685
2020-07-20,5,1348.418,0,0,0,sg,25.46497685
2020-07-20,6,262.469,0,0,0,h,25.46497685
2020-07-20,7,589.126,0,0,0,sg,25.46497685
2020-07-20,8,143.273,0,0,0,sg,25.46497685
2020-07-20,9,1151.766,0,0,0,sg,25.46497685
2020-07-20,10,1246.097,0,0,0,sg,25.46497685
2020-07-20,11,1569.308,0,0,0,n,25.46497685
2020-07-20,12,1303.848,0,0,0,n,25.46497685
2020-07-20,13,1311.741,0,0,0,sg,25.46497685
2020-07-20,14,1053.153,0,0,0,sg,25.46497685
2020-07-20,15,1150.916,5.644,0.490392001,1,sg,25.46497685
2020-07-20,16,1221.589,0,0,0,sg,25.46497685
2020-07-20,17,1238.061,0,0,0,n,25.46497685
2020-07-20,18,963.555,0,0,0,n,25.46497685
2020-07-20,19,765.094,0,0,0,sg,25.46497685
2020-07-20,20,1900.651,0,0,0,n,25.46497685
2020-07-20,21,706.408,0,0,0,n,25.46497685
2020-07-20,22,2322.33,0,0,0,n,25.46497685
2020-07-20,23,1472.827,0,0,0,n,25.46497685
2020-07-20,24,1487.695,0,0,0,sg,25.46497685
2020-07-20,25,1650.405,0,0,0,n,25.46497685
2020-07-20,26,1906.883,0,0,0,n,25.46497685
2020-07-20,27,1233.464,147.113,11.92681748,1,n,25.46497685
2020-07-20,28,1042.637,0,0,0,sg,25.46497685
2020-07-20,29,797.477,0,0,0,sg,25.46497685
2020-07-20,30,1236.522,0,0,0,sg,25.46497685
2020-07-20,31,1428.64,0,0,0,n,25.46497685
2020-07-20,32,1297.795,0,0,0,sg,25.46497685
2020-07-20,33,1135.156,0,0,0,n,25.46497685
2020-07-20,34,724.881,0,0,0,n,25.46497685
2020-07-20,35,622.937,0,0,0,sg,25.46497685
2020-07-20,36,270.467,0,0,0,sg,25.46497685
2020-07-20,37,977.014,0,0,0,sg,25.46497685
2020-07-20,38,572.539,0,0,0,sg,25.46497685
2020-07-20,39,424.983,0,0,0,sg,25.46497685
2020-07-20,40,841.62,0,0,0,sg,25.46497685
2020-07-20,41,422.114,0,0,0,sg,25.46497685
2020-07-20,42,1194.462,0,0,0,sg,25.46497685
2020-07-20,43,1371.763,0,0,0,sg,25.46497685
2020-07-20,44,1067.527,0,0,0,n,25.46497685
2020-07-20,45,724.595,0,0,0,sg,25.46497685
2020-07-20,46,564.033,0,0,0,sg,25.46497685
2020-07-20,47,738.233,0,0,0,sg,25.46497685
2020-07-20,48,478.914,0,0,0,sg,25.46497685
2020-07-20,49,713.732,0,0,0,n,25.46497685
2020-07-20,50,229.09,0,0,0,sg,25.46497685
2020-08-20,1,1626.133,0,0,0,n,28.41466435
2020-08-20,2,1274.345,8.462,0.664027402,1,sg,28.41466435
2020-08-20,3,1414.588,0,0,0,n,28.41466435
2020-08-20,4,507.014,0,0,0,sg,28.41466435
2020-08-20,5,912.141,0,0,0,sg,28.41466435
2020-08-20,6,792.284,0,0,0,n,28.41466435
2020-08-20,7,514.619,0,0,0,n,28.41466435
2020-08-20,8,1287.215,0,0,0,sg,28.41466435
2020-08-20,9,1105.1,0,0,0,n,28.41466435
2020-08-20,10,568.301,0,0,0,sg,28.41466435
2020-08-20,11,973.648,0,0,0,sg,28.41466435
2020-08-20,12,1248.794,0,0,0,n,28.41466435
2020-08-20,13,1327.152,0,0,0,n,28.41466435
2020-08-20,14,602.139,0,0,0,n,28.41466435
2020-08-20,15,804.258,0,0,0,h,28.41466435
2020-08-20,16,717.865,0,0,0,n,28.41466435
2020-08-20,17,46.046,0,0,0,h,28.41466435
2020-08-20,18,906.86,0,0,0,n,28.41466435
2020-08-20,19,638.462,0,0,0,h,28.41466435
2020-08-20,20,562.343,0,0,0,h,28.41466435
2020-08-20,21,1500.172,0,0,0,n,28.41466435
2020-08-20,22,1439.525,0,0,0,n,28.41466435
2020-08-20,23,205.751,0,0,0,h,28.41466435
2020-08-20,24,768.717,0,0,0,sg,28.41466435
2020-08-20,25,1242.334,0,0,0,n,28.41466435
2020-08-20,26,727.399,0,0,0,sg,28.41466435
2020-08-20,27,693.828,0,0,0,n,28.41466435
2020-08-20,28,1442.899,0,0,0,n,28.41466435
2020-08-20,29,199.297,0,0,0,h,28.41466435
2020-08-20,30,508.925,0,0,0,sg,28.41466435
2020-08-20,31,655.813,0,0,0,sg,28.41466435
2020-08-20,32,623.71,0,0,0,h,28.41466435
2020-08-20,33,752.375,0,0,0,sg,28.41466435
2020-08-20,34,736.751,0,0,0,h,28.41466435
2020-08-20,35,1145.767,0,0,0,h,28.41466435
2020-08-20,36,1454.514,0,0,0,sg,28.41466435
2020-08-20,37,854.937,0,0,0,sg,28.41466435
2020-08-20,38,405.139,6.306,1.55650283,1,n,28.41466435
2020-08-20,39,148.799,0,0,0,sg,28.41466435
2020-08-20,40,1848.798,0,0,0,n,28.41466435
2020-08-20,41,1057.046,0,0,0,n,28.41466435
2020-08-20,42,462.46,0,0,0,sg,28.41466435
2020-08-20,43,824.318,0,0,0,sg,28.41466435
2020-08-20,44,160.124,0,0,0,n,28.41466435
2020-08-20,45,972.634,0,0,0,sg,28.41466435
2020-08-20,46,1466.56,0,0,0,sg,28.41466435
2020-08-20,47,1268.946,72.52,5.714979203,1,n,28.41466435
2020-08-20,48,1531.089,0,0,0,n,28.41466435
2020-08-20,49,1401.592,0,0,0,sg,28.41466435
2020-08-20,50,1965.543,349.756,17.79437031,1,n,28.41466435
2020-09-15,1,549.271,0,0,0,n,30.19046296
2020-09-15,2,463.247,105.647,22.80576021,1,sg,30.19046296
2020-09-15,3,774.362,0,0,0,sg,30.19046296
2020-09-15,4,589.434,0,0,0,h,30.19046296
2020-09-15,5,467.257,0,0,0,h,30.19046296
2020-09-15,6,1813.939,0,0,0,n,30.19046296
2020-09-15,7,923.24,0,0,0,sg,30.19046296
2020-09-15,8,1325.46,266.466,20.10366212,1,sg,30.19046296
