Date,Prevalence,PercentPrev,Dis_Count,Dis_Presence,SGE_Presence,HOBO_temp_avg_onday,Cum_Occ
2020-07-20,0.0025,0.24834419,2,2,25,25.46497685,2
2020-08-20,0.0051,0.514597595,4,4,24,28.41466435,6
2020-09-15,0.0572,5.718727867,27,18,27,30.19046296,33
2020-10-16,0.0108,1.080724646,5,5,34,26.68959491,38
2020-11-18,0,0,0,0,24,24.45208333,0
2020-12-08,0,0,0,0,12,23.23423611,0
2021-01-15,0,0,0,0,3,18.75893519,0
2021-02-12,0,0,0,0,0,19.17302083,0
2021-03-09,0,0,0,0,0,16.22506944,0
2021-04-09,0,0,0,0,0,17.42876157,0
2021-05-10,0,0,0,0,0,18.11275463,0
2021-06-07,0,0,0,0,4,18.24172454,0
2021-07-16,0,0,0,0,23,24.21490741,0
2021-08-20,0,0,0,0,23,24.87356481,0
2021-09-10,0.0069,0.685206716,4,3,27,26.30412037,4
2021-10-08,0.0831,8.305867946,6,6,34,22.30359954,10
2021-11-04,0,0,0,0,21,22.83984127,0
