"","format(t, ""%Y %m"")","mean_temp"
"1","2013 09",25.2667366666667
"2","2013 10",23.3265903225806
"3","2013 11",21.1119466666667
"4","2013 12",18.6662419354839
"5","2014 01",16.7566
"6","2014 02",15.8169857142857
"7","2014 03",16.0922290322581
"8","2014 04",17.3028166666667
"9","2014 05",19.3066838709677
"10","2014 06",21.6139233333333
"11","2014 07",24.1559
"12","2014 08",26.0356129032258
"13","2014 09",25.2667366666667
"14","2014 10",23.3265903225806
"15","2014 11",21.1119466666667
"16","2014 12",18.6662419354839
"17","2015 01",16.7566
"18","2015 02",15.8169857142857
"19","2015 03",16.0922290322581
"20","2015 04",17.3028166666667
"21","2015 05",19.3066838709677
"22","2015 06",21.6139233333333
"23","2015 07",24.1559
"24","2015 08",26.0356129032258
"25","2015 09",25.2667366666667
"26","2015 10",23.3265903225806
"27","2015 11",21.1119466666667
"28","2015 12",18.6662419354839
"29","2016 01",16.7566
"30","2016 02",15.8160724137931
"31","2016 03",16.0922290322581
"32","2016 04",17.3028166666667
"33","2016 05",19.3066838709677
"34","2016 06",21.6139233333333
"35","2016 07",24.1559
"36","2016 08",26.0356129032258
"37","2016 09",25.2667366666667
"38","2016 10",23.3265903225806
"39","2016 11",21.1119466666667
"40","2016 12",18.6662419354839
"41","2017 01",16.7566
"42","2017 02",15.8169857142857
"43","2017 03",16.0922290322581
"44","2017 04",17.3028166666667
"45","2017 05",19.3066838709677
"46","2017 06",21.6139233333333
"47","2017 07",24.1559
"48","2017 08",26.0356129032258
"49","2017 09",25.2667366666667
"50","2017 10",23.3265903225806
"51","2017 11",21.1119466666667
"52","2017 12",18.6662419354839
"53","2018 01",16.7566
"54","2018 02",15.8169857142857
"55","2018 03",16.0922290322581
"56","2018 04",17.3028166666667
"57","2018 05",19.3066838709677
"58","2018 06",21.6139233333333
"59","2018 07",24.1559
"60","2018 08",26.0356129032258
"61","2018 09",25.2667366666667
"62","2018 10",23.3265903225806
"63","2018 11",21.1119466666667
"64","2018 12",18.6662419354839
"65","2019 01",16.7566
"66","2019 02",15.8169857142857
"67","2019 03",16.0922290322581
"68","2019 04",17.3028166666667
"69","2019 05",19.3066838709677
"70","2019 06",21.6139233333333
"71","2019 07",24.1559
"72","2019 08",26.0356129032258
"73","2019 09",25.2667366666667
"74","2019 10",23.3265903225806
"75","2019 11",21.1119466666667
"76","2019 12",18.6662419354839
"77","2020 01",16.7566
"78","2020 02",15.8160724137931
"79","2020 03",16.0922290322581
"80","2020 04",17.3028166666667
"81","2020 05",19.3066838709677
"82","2020 06",21.6139233333333
"83","2020 07",24.1559
"84","2020 08",26.0356129032258
"85","2020 09",25.2667366666667
"86","2020 10",23.3265903225806
"87","2020 11",21.1119466666667
"88","2020 12",19.071185
